mean_qscore_template	called_events	duration	strand_score
8.304	1547	23218	-0.0008
8.325	3846	57697	-0.0004
7.608	1615	24233	-0.0007
8.219	2080	31208	-0.0011
7.805	1438	21583	-0.0006
8.544	3740	56107	-0.0003
8.23	2778	51387	-0.0007
8.741	3117	46767	-0.0006
8.987	4235	63526	-0.0003
7.337	1972	29589	-0.0009
7.881	1513	24541	-0.0007
7.742	2142	32138	-0.0004
8.206	1649	24747	-0.0009
8.234	1827	27409	-0.0011
8.124	2978	44675	-0.0005
8.54	2023	30405	-0.0003
8.119	3181	47720	-0.0004
9.407	2848	42730	-0.0003
8.56	5838	87570	-0.0003
8.891	2774	41612	-0.0006
7.414	3017	45267	-0.0002
8.693	2383	35752	-0.0005
