read_id	run_id	channel	start_time	sequence_length_template	mean_qscore_template	calibration_strand_genome_template	path
5b7fadd0-c646-4c7b-9800-66ee658a5ca8	40ebe55356ada6c830fa793745ef4c498d896c73	150	37	468	7.608	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_150_strand.fast5
2c32553e-62c6-4c7a-bf05-249771364f04	40ebe55356ada6c830fa793745ef4c498d896c73	237	11	1151	8.544	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_237_strand.fast5
e6a8e4d0-7b3c-471a-be26-fa7857d12663	40ebe55356ada6c830fa793745ef4c498d896c73	318	15	392	8.304	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_318_strand.fast5
f8325de9-a77e-4616-a4a8-69ecf32e1688	40ebe55356ada6c830fa793745ef4c498d896c73	354	16	568	8.206	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_354_strand.fast5
3e81c32a-f2ee-4719-a88d-e0affe93d26f	40ebe55356ada6c830fa793745ef4c498d896c73	348	24	1137	8.124	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_348_strand.fast5
37dfa1d5-5d84-486c-bf47-9eb6438f5645	40ebe55356ada6c830fa793745ef4c498d896c73	410	30	555	8.219	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_410_strand.fast5
9a1c5296-2ab1-4abd-8d50-e059754cf332	40ebe55356ada6c830fa793745ef4c498d896c73	319	33	1235	8.119	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_319_strand.fast5
6af04302-04c8-4d8d-8e87-aa69178b3f24	40ebe55356ada6c830fa793745ef4c498d896c73	36	26	832	8.234	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_36_strand.fast5
0ef36fa0-7c3f-47f5-8410-027f50724701	40ebe55356ada6c830fa793745ef4c498d896c73	108	26	915	9.407	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_108_strand.fast5
4e21bf07-e2df-42d8-b347-59ef2c0618ea	40ebe55356ada6c830fa793745ef4c498d896c73	290	31	1160	8.741	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_290_strand.fast5
68804104-71dc-465c-b82d-3a99a4689701	40ebe55356ada6c830fa793745ef4c498d896c73	38	20	1010	8.325	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_38_strand.fast5
61e799eb-5571-4cc4-bbf6-b3929b197459	40ebe55356ada6c830fa793745ef4c498d896c73	103	26	844	8.56	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_103_strand.fast5
3784283c-47cc-48ac-8d7b-7efd32123b56	40ebe55356ada6c830fa793745ef4c498d896c73	243	20	893	8.54	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_243_strand.fast5
1f83ee80-ac29-46be-b8bc-9dc9325f1fa7	40ebe55356ada6c830fa793745ef4c498d896c73	382	35	819	7.414	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_382_strand.fast5
08642be5-5cf7-4c4c-8c45-e4d569b9a482	40ebe55356ada6c830fa793745ef4c498d896c73	121	28	450	7.805	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_121_strand.fast5
c38cbad9-d91e-4208-9317-832f4e2cc289	40ebe55356ada6c830fa793745ef4c498d896c73	113	30	824	8.693	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_113_strand.fast5
151757ea-53de-44b1-b86e-f823511af02a	40ebe55356ada6c830fa793745ef4c498d896c73	191	13	568	8.23	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_191_strand.fast5
97205d42-93ac-4c99-af78-e553f7d1ff83	40ebe55356ada6c830fa793745ef4c498d896c73	343	26	1584	8.987	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_343_strand.fast5
bcb20156-a5fe-4daa-aad9-b62c286e468d	40ebe55356ada6c830fa793745ef4c498d896c73	192	21	306	7.337	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_192_strand.fast5
ed05c5e6-7aab-4970-a431-3411047764a6	40ebe55356ada6c830fa793745ef4c498d896c73	224	34	880	8.891	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_224_strand.fast5
6f4fffe7-ca07-4c5e-9ad1-7470f370a8b0	40ebe55356ada6c830fa793745ef4c498d896c73	301	16	553	7.881	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_301_strand.fast5
3f09025f-3d2c-4f84-9ea6-63dba736b649	40ebe55356ada6c830fa793745ef4c498d896c73	418	17	593	7.742	filtered_out	/home/aleg/Programming/Packages/pycoQC/docs/Fast5_to_seq_summary/data/20180625_FAH77625_MN23126_sequencing_run_S1_57529_read_10_ch_418_strand.fast5
